signal_date,ticker,pattern,close,sma50,sma200,prev_high_close,volume,vol_avg20,entry_price,entry_band_low,entry_band_high,stop_pct,stop_price,pattern_family,score_trend,score_setup,score_volume,score_rsi,score_risk,score_pattern,sma50_slope_pct,ma_slope_bonus,feature_recent_signal_count,feature_close_vs_prev_high_pct,feature_close_vs_sma50_pct,feature_gap_pct,feature_range_vs_atr,feature_gap_sequence_risk,feature_exhaustion_risk,pattern_bonus,score_penalty_crowding,score_penalty_extension,score_penalty_gap_shock,score_penalty_total,score_penalty_stop_risk,signal_score_pre_stop_risk_penalty,signal_score,signal_stop_risk,signal_stop_risk_5d,signal_gap_through_stop_risk,signal_mae_exceeds_stop_risk,signal_reliability_score,score_penalty_stop_risk_method,score_penalty_stop_risk_gated,consensus_count,signal_score_pre_lt_health,lt_health_points,lt_health_bonus,markov_state,markov_p_continuation,markov_p_adverse,score_markov_adjustment,signal_score_pre_markov,st_score,st_score_pre_model,markov_state_encoded
2024-01-04,ONGC.NS,A_breakout_40d,214.65,196.53,175.2692,208.3,31054419,17612165.75,215.45,213.2955,217.6045,7.0,200.3685,A,100.0,74.4,75.3,69.9,58.0,59.9,1.11,3.0,0,3.0485,9.22,1.0804,1.1356,1.335,12.2326,18.0,-0.0,-0.0,-0.0,-0.0,0.0,75.9,75.9,0.1477,0.1154,0.0745,0.1575,85,continuous_power,False,1,75.9,2,0.0,,0.0,0.0,0.0,75.9,34.9,31.1,0|0|0|0|0
2024-01-05,GODREJCP.NS,A_breakout_40d,1219.85,1038.249,1016.4762,1202.0,2079251,1267273.95,1184.2,1172.358,1196.042,7.0,1101.306,A,60.7,61.9,72.8,87.7,58.0,59.9,1.85,3.0,0,1.485,17.4911,0.0,1.826,1.2318,18.0683,18.0,-0.0,-0.0,-0.0,-0.0,0.0,65.7,65.7,0.1289,0.0788,0.0602,0.1353,87,continuous_power,False,1,65.7,2,0.0,,0.0,0.0,0.0,65.7,13.6,13.8,0|0|0|0|0
2024-01-05,INDUSTOWER.NS,A_breakout_40d,222.15,188.618,170.4415,216.45,40926196,15695139.25,222.55,220.3245,224.7755,7.0,206.9715,A,100.0,71.1,92.2,74.4,58.0,59.9,1.29,3.0,1,2.6334,17.7777,0.7161,1.3155,1.3209,23.4382,18.0,-0.0,-0.0,-0.0,-0.0,0.0,77.5,77.5,0.1314,0.0912,0.0745,0.1411,87,continuous_power,False,1,77.5,2,0.0,,0.0,0.0,0.0,77.5,43.8,31.2,0|0|0|0|0
2024-01-05,TATAPOWER.NS,A_breakout_40d,340.75,288.107,241.414,338.15,37557423,23639588.05,344.0,340.56,347.44,7.0,319.92,A,100.0,56.2,71.8,69.5,58.0,59.9,2.99,3.0,0,0.7689,18.272,0.444,1.2195,0.9076,10.1457,18.0,-0.0,-0.0,-0.0,-0.0,0.0,71.8,71.8,0.1329,0.0912,0.0745,0.1411,87,continuous_power,False,1,71.8,2,0.0,,0.0,0.0,0.0,71.8,36.9,31.1,0|0|0|0|0
2024-01-09,ADANIPORTS.NS,A_breakout_40d,1197.1,934.579,793.467,1168.85,14701104,8138544.2,1220.0,1207.8,1232.2,7.0,1134.6,A,100.0,69.3,76.1,82.0,58.0,59.9,4.1,3.0,0,2.4169,28.0898,1.125,1.3068,1.7806,23.5459,18.0,-0.0,-0.0,-0.0,-0.0,0.0,75.3,75.3,0.1477,0.0912,0.0745,0.1669,85,continuous_power,False,1,75.3,2,0.0,,0.0,0.0,0.0,75.3,32.4,31.1,0|0|0|0|0
2024-01-09,BAJAJ-AUTO.NS,A_breakout_40d,7093.8999,6062.56,5010.9908,6986.5,2125908,603366.75,7125.0,7053.75,7196.25,7.0,6626.25,A,100.0,62.3,100.0,76.0,58.0,59.9,2.7,3.0,1,1.5372,17.0116,5.1139,1.7572,6.2769,13.8296,18.0,-0.0,-0.0,-0.0,-0.0,0.0,76.9,76.9,0.1289,0.0815,0.0787,0.1353,87,continuous_power,False,1,76.9,2,0.0,,0.0,0.0,0.0,76.9,26.4,31.1,0|0|0|0|0
2024-01-09,DLF.NS,A_breakout_40d,789.6,656.149,523.0537,761.4,9348457,4401336.8,790.45,782.5455,798.3545,7.0,735.1185,A,100.0,79.6,82.5,78.2,58.0,59.9,3.41,3.0,1,3.7037,20.3385,1.6726,1.416,2.8713,20.2591,18.0,-0.0,-0.0,-0.0,-0.0,0.0,78.1,78.1,0.1477,0.1154,0.0745,0.1644,85,continuous_power,False,1,78.1,2,0.0,,0.0,0.0,0.0,78.1,29.4,31.1,0|0|0|0|0
2024-01-09,SIEMENS.NS,A_breakout_40d,2461.5237,2195.5066,2146.5585,2429.7375,1113636,678300.55,2460.0854,2435.4846,2484.6863,7.0,2287.8795,A,61.4,60.5,72.8,68.9,58.0,59.9,1.8,3.0,0,1.3082,12.1164,0.3823,1.7448,1.4155,9.8572,18.0,-0.0,-0.0,-0.0,-0.0,0.0,65.0,65.0,0.1289,0.0815,0.0745,0.1353,87,continuous_power,False,1,65.0,2,0.0,,0.0,0.0,0.0,65.0,36.9,31.1,0|0|0|0|0
2024-01-10,CIPLA.NS,A_breakout_40d,1329.2,1232.64,1104.6053,1300.15,3625567,1807503.5,1339.85,1326.4515,1353.2485,7.0,1246.0605,A,100.0,67.9,80.1,69.0,58.0,59.9,1.0,3.0,0,2.2344,7.8336,0.5158,1.4754,1.6654,10.2351,18.0,-0.0,-0.0,-0.0,-0.0,0.0,75.2,75.2,0.1314,0.0912,0.0745,0.1411,87,continuous_power,False,1,75.2,2,0.0,,0.0,0.0,0.0,75.2,34.9,31.1,0|0|0|0|0
2024-01-10,TRENT.NS,A_breakout_40d,3173.6001,2753.111,1985.477,3115.45,951897,547768.9,3190.0,3158.1,3221.9,7.0,2966.7,A,100.0,64.9,74.8,78.4,58.0,59.9,4.0,3.0,0,1.8665,15.2732,0.3547,1.1388,1.2011,12.0657,18.0,-0.0,-0.0,-0.0,-0.0,0.0,74.2,74.2,0.1477,0.0912,0.0745,0.1644,85,continuous_power,False,1,74.2,2,0.0,,0.0,0.0,0.0,74.2,16.1,13.8,0|0|0|0|0
